fruit_id,color,length_cm,width_cm,kernel_mass_g,whole_fruit_weight_g,spot_coverage_percent,has_spots,oil_yield_percent,maturity_stage,length_width_ratio,kernel_fruit_ratio,color_encoded
TALISAY_01860,brown,5.15,3.66,0.382,29.4,0.0,False,55.01,fully_ripe,1.407,1.3,2
TALISAY_00353,green,4.71,3.13,0.5,34.7,8.8,True,49.62,immature,1.505,1.44,0
TALISAY_01333,yellow,5.9,5.31,0.839,46.3,0.0,False,61.18,mature,1.111,1.81,1
TALISAY_00905,yellow,4.32,3.08,0.459,24.2,0.0,False,59.06,mature,1.403,1.9,1
TALISAY_01289,yellow,5.3,4.34,0.524,45.4,0.0,False,58.45,mature,1.221,1.15,1
TALISAY_01273,yellow,5.6,4.66,0.52,47.8,0.0,False,58.25,mature,1.202,1.09,1
TALISAY_00938,yellow,5.97,4.46,0.749,50.2,21.1,True,58.74,mature,1.339,1.49,1
TALISAY_01731,brown,4.74,2.89,0.316,27.8,0.0,False,52.93,fully_ripe,1.64,1.14,2
TALISAY_00065,green,6.2,4.7,0.713,50.8,0.0,False,45.0,immature,1.319,1.4,0
TALISAY_01323,yellow,6.53,5.41,0.649,55.3,0.0,False,60.2,mature,1.207,1.17,1
TALISAY_00056,green,6.73,5.5,0.784,57.6,0.0,False,46.15,immature,1.224,1.36,0
TALISAY_01292,yellow,5.84,4.83,0.744,52.6,0.0,False,58.15,mature,1.209,1.41,1
TALISAY_01118,yellow,6.44,4.6,0.687,51.3,0.0,False,59.71,mature,1.4,1.34,1
TALISAY_00584,yellow,6.14,4.53,0.706,50.9,0.0,False,59.68,mature,1.355,1.39,1
TALISAY_00374,green,6.81,4.66,0.84,55.0,45.4,True,47.95,immature,1.461,1.53,0
TALISAY_00275,green,6.68,5.45,0.605,59.6,26.5,True,47.74,immature,1.226,1.02,0
TALISAY_00746,yellow,4.9,3.88,0.481,25.8,0.0,False,58.15,mature,1.263,1.86,1
TALISAY_00128,green,4.17,3.55,0.339,31.2,0.0,False,45.48,immature,1.175,1.09,0
TALISAY_01646,brown,4.58,3.19,0.345,33.2,0.0,False,55.33,fully_ripe,1.436,1.04,2
